what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1388838744416
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1388838744416
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1388838744416
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1388838744416
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1388838744416
os,sysinfo,,,"linux",1388838744418
arch,sysinfo,,,"x86",1388838744418
ws,sysinfo,,,"gtk",1388838744418
locale,sysinfo,,,"en_US",1388838744418
processors,sysinfo,,,"2",1388838744418
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1388838744418
java.runtime.version,sysinfo,,,"1.7.0_25-b30",1388838744418
java.specification.name,sysinfo,,,"Java Platform API Specification",1388838744418
java.specification.vendor,sysinfo,,,"Oracle Corporation",1388838744418
java.specification.version,sysinfo,,,"1.7",1388838744418
java.vendor,sysinfo,,,"Oracle Corporation",1388838744418
java.version,sysinfo,,,"1.7.0_25",1388838744418
java.vm.info,sysinfo,,,"mixed mode, sharing",1388838744418
java.vm.name,sysinfo,,,"OpenJDK Client VM",1388838744418
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1388838744418
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1388838744418
java.vm.specification.version,sysinfo,,,"1.7",1388838744418
java.vm.vendor,sysinfo,,,"Oracle Corporation",1388838744418
java.vm.version,sysinfo,,,"23.7-b01",1388838744418
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1388838821371
